Product_ID,Product Name,Category,Shelf Number,Quantity Available,Reorder_Level,Supplier_Name,Purchase_Price,Selling_Price,Last_Stock_Update,Order_Status,Total Sales Volume,Total Revenue,Profit per Unit,Profit Margin (%),Stock Turnover Rate,Storage Space (cubic ft),Warehouse Section,Profit_Margin (%)
1001.0,Cushion Set,Lighting,K6,68.0,3.0,IKEA Supplies,474.46,937.87,1/1/2025,Low Stock,185.0,173505.95,463.41,40.0,2.720588235,37.0,B,49.41
1002.0,Hand Mixer,Appliances,T9,31.0,9.0,Storage Solutions,31.91,58.56,1/2/2025,Reorder Needed,488.0,28577.28,26.65,40.0,15.74193548,33.0,C,45.51
1003.0,Study Desk,Furniture,Y0,67.0,11.0,Home Essentials,115.07,139.67,1/3/2025,Available,306.0,42739.02,24.6,40.0,4.567164179,14.0,A,17.61
1004.0,Measuring Cups,Lighting,Q4,21.0,6.0,Home Essentials,416.67,463.16,1/4/2025,Low Stock,472.0,218611.52,46.49,40.0,22.47619048,31.0,C,10.04
1005.0,Dining Table,Furniture,U8,77.0,8.0,IKEA Supplies,687.0,935.2,1/5/2025,Out of Stock,205.0,191716.0,248.2,40.0,2.662337662,43.0,B,26.54
1006.0,Hand Mixer,Appliances,F7,37.0,11.0,Light Co.,202.64,329.83,1/6/2025,Low Stock,246.0,81138.18,127.19,40.0,6.648648649,10.0,A,38.56
1007.0,Folding Table,Furniture,L5,88.0,13.0,TechCorp,353.52,517.09,1/7/2025,Available,345.0,178396.05,163.57,40.0,3.920454545,48.0,A,31.63
1008.0,Fitness Tracker,Electronics,I0,81.0,3.0,Home Essentials,38.48,60.74,1/8/2025,Low Stock,117.0,7106.58,22.26,40.0,1.444444444,28.0,C,36.65
1009.0,Pendant Light,Lighting,S2,96.0,14.0,Home Essentials,109.83,165.38,1/9/2025,Low Stock,261.0,43164.18,55.55,40.0,2.71875,45.0,B,33.59
1010.0,Vacuum Cleaner,Appliances,E0,33.0,9.0,Light Co.,585.13,986.9,1/10/2025,Available,412.0,406602.8,401.77,40.0,12.48484848,37.0,D,40.71
1011.0,Rocking Chair,Furniture,V5,17.0,3.0,Light Co.,566.62,965.82,1/11/2025,Low Stock,485.0,468422.7,399.2,40.0,28.52941176,22.0,D,41.33
1012.0,Fitness Tracker,Electronics,X7,50.0,5.0,Storage Solutions,18.56,24.84,1/12/2025,Available,223.0,5539.32,6.28,40.0,4.46,49.0,C,25.28
1013.0,Curtains,Lighting,R7,39.0,2.0,Storage Solutions,646.37,952.78,1/13/2025,Available,149.0,141964.22,306.41,40.0,3.820512821,20.0,C,32.16
1014.0,Patio Set,Furniture,U0,10.0,6.0,TechCorp,579.1,646.34,1/14/2025,Out of Stock,359.0,232036.06,67.24,40.0,35.9,32.0,A,10.4
1015.0,Clothes Dryer,Appliances,O2,86.0,10.0,TechCorp,721.39,870.56,1/15/2025,Reorder Needed,425.0,369988.0,149.17,40.0,4.941860465,38.0,B,17.13
1016.0,Gaming Console,Electronics,B3,73.0,2.0,IKEA Supplies,343.53,465.65,1/16/2025,Reorder Needed,168.0,78229.2,122.12,40.0,2.301369863,12.0,B,26.23
1017.0,Cushion Set,Lighting,F7,51.0,10.0,Storage Solutions,358.13,525.28,1/17/2025,Low Stock,261.0,137098.08,167.15,40.0,5.117647059,24.0,A,31.82
1018.0,Ironing Board,Appliances,R3,29.0,12.0,Home Essentials,381.07,499.07,1/18/2025,Low Stock,184.0,91828.88,118.0,40.0,6.344827586,19.0,D,23.64
1019.0,Standing Fan,Lighting,T9,70.0,9.0,Storage Solutions,485.39,673.53,1/19/2025,Out of Stock,84.0,56576.52,188.14,40.0,1.2,22.0,C,27.93
1020.0,Desk Organizer,Storage,J3,14.0,7.0,Home Essentials,118.12,156.86,1/20/2025,Out of Stock,330.0,51763.8,38.74,40.0,23.57142857,23.0,D,24.7
1021.0,Cookware Set,Lighting,B7,60.0,8.0,Light Co.,33.06,49.37,1/21/2025,Out of Stock,452.0,22315.24,16.31,40.0,7.533333333,39.0,B,33.04
1022.0,LED Lamp,Lighting,U0,34.0,4.0,Storage Solutions,180.76,321.77,1/22/2025,Available,405.0,130316.85,141.01,40.0,11.91176471,5.0,B,43.82
1023.0,Ergonomic Keyboard,Electronics,W6,9.0,2.0,Light Co.,463.36,710.59,1/23/2025,Out of Stock,191.0,135722.69,247.23,40.0,21.22222222,7.0,A,34.79
1024.0,Blender,Appliances,Y4,37.0,6.0,TechCorp,155.79,217.82,1/24/2025,Out of Stock,129.0,28098.78,62.03,40.0,3.486486486,42.0,C,28.48
1025.0,Curtains,Lighting,M2,69.0,13.0,TechCorp,500.49,679.96,1/25/2025,Low Stock,367.0,249545.32,179.47,40.0,5.31884058,47.0,B,26.39
1026.0,Hand Mixer,Appliances,Z3,22.0,13.0,IKEA Supplies,521.7,970.51,1/26/2025,Out of Stock,136.0,131989.36,448.81,40.0,6.181818182,5.0,C,46.24
1027.0,Toaster,Appliances,M8,53.0,3.0,Storage Solutions,76.71,112.02,1/27/2025,Available,391.0,43799.82,35.31,40.0,7.377358491,22.0,B,31.52
1028.0,Dishwasher,Appliances,L5,15.0,6.0,Light Co.,419.77,679.15,1/28/2025,Available,63.0,42786.45,259.38,40.0,4.2,33.0,A,38.19
1029.0,Storage Box,Storage,T5,89.0,9.0,Home Essentials,260.77,454.88,1/29/2025,Low Stock,290.0,131915.2,194.11,40.0,3.258426966,27.0,C,42.67
1030.0,Ceiling Fan,Lighting,M8,30.0,12.0,TechCorp,447.71,870.78,1/30/2025,Out of Stock,144.0,125392.32,423.07,40.0,4.8,19.0,B,48.59
1031.0,Duvet Cover,Other,N9,67.0,10.0,TechCorp,119.88,193.61,1/31/2025,Out of Stock,291.0,56340.51,73.73,40.0,4.343283582,11.0,C,38.08
1032.0,Wardrobe,Furniture,M6,93.0,3.0,Home Essentials,419.55,698.77,2/1/2025,Available,273.0,190764.21,279.22,40.0,2.935483871,24.0,A,39.96
1033.0,Smartphone Charger,Electronics,Z5,90.0,13.0,Light Co.,732.45,841.35,2/2/2025,Out of Stock,56.0,47115.6,108.9,40.0,0.622222222,39.0,A,12.94
1034.0,Office Chair,Furniture,M2,63.0,4.0,Light Co.,653.35,945.72,2/3/2025,Out of Stock,110.0,104029.2,292.37,40.0,1.746031746,18.0,C,30.92
1035.0,Bookshelf,Furniture,J5,31.0,4.0,Storage Solutions,574.35,689.58,2/4/2025,Out of Stock,155.0,106884.9,115.23,40.0,5.0,25.0,A,16.71
1036.0,LED Lamp,Lighting,Q2,53.0,2.0,Storage Solutions,333.83,507.23,2/5/2025,Reorder Needed,350.0,177530.5,173.4,40.0,6.603773585,6.0,D,34.19
1037.0,Extension Cord,Storage,T9,81.0,9.0,IKEA Supplies,343.15,625.49,2/6/2025,Low Stock,325.0,203284.25,282.34,40.0,4.012345679,14.0,D,45.14
1038.0,Leather Sofa,Furniture,D3,37.0,7.0,TechCorp,585.93,871.53,2/7/2025,Reorder Needed,114.0,99354.42,285.6,40.0,3.081081081,12.0,A,32.77
1039.0,Monitor Stand,Electronics,L1,5.0,13.0,Storage Solutions,348.8,579.2,2/8/2025,Low Stock,289.0,167388.8,230.4,40.0,57.8,23.0,A,39.78
1040.0,Wall Clock,Lighting,M2,25.0,14.0,Light Co.,38.28,49.78,2/9/2025,Available,463.0,23048.14,11.5,40.0,18.52,26.0,A,23.1
1041.0,Electric Kettle,Appliances,N1,59.0,9.0,Home Essentials,680.44,932.33,2/10/2025,Out of Stock,230.0,214435.9,251.89,40.0,3.898305085,13.0,C,27.02
1042.0,Mattress,Other,B7,10.0,12.0,Light Co.,454.98,695.74,2/11/2025,Low Stock,271.0,188545.54,240.76,40.0,27.1,45.0,D,34.6
1043.0,Vacuum Cleaner,Appliances,G4,96.0,10.0,TechCorp,529.57,682.98,2/12/2025,Reorder Needed,378.0,258166.44,153.41,40.0,3.9375,8.0,D,22.46
1044.0,Cable Management Box,Storage,Y0,85.0,6.0,Light Co.,207.83,231.36,2/13/2025,Out of Stock,315.0,72878.4,23.53,40.0,3.705882353,25.0,A,10.17
1045.0,Projector,Electronics,W2,73.0,13.0,IKEA Supplies,507.11,665.71,2/14/2025,Available,496.0,330192.16,158.6,40.0,6.794520548,36.0,C,23.82
1046.0,Study Desk,Furniture,D5,99.0,4.0,TechCorp,284.43,405.99,2/15/2025,Low Stock,262.0,106369.38,121.56,40.0,2.646464646,29.0,B,29.94
1047.0,Floor Mat,Lighting,K2,9.0,6.0,Home Essentials,387.71,658.21,2/16/2025,Low Stock,244.0,160603.24,270.5,40.0,27.11111111,7.0,A,41.1
1048.0,Portable Heater,Lighting,H9,7.0,6.0,IKEA Supplies,64.05,124.46,2/17/2025,Low Stock,337.0,41943.02,60.41,40.0,48.14285714,25.0,C,48.54
1049.0,Swivel Chair,Furniture,U4,57.0,6.0,TechCorp,473.81,664.69,2/18/2025,Out of Stock,393.0,261223.17,190.88,40.0,6.894736842,48.0,D,28.72
1050.0,Duvet Cover,Other,T9,27.0,4.0,Home Essentials,840.28,999.43,2/19/2025,Reorder Needed,282.0,281839.26,159.15,40.0,10.44444444,36.0,A,15.92
1051.0,Cutlery Set,Lighting,F7,57.0,12.0,IKEA Supplies,49.63,67.25,2/20/2025,Reorder Needed,85.0,5716.25,17.62,40.0,1.49122807,6.0,C,26.2
1052.0,Coffee Maker,Appliances,X9,41.0,11.0,IKEA Supplies,548.57,977.63,2/21/2025,Low Stock,159.0,155443.17,429.06,40.0,3.87804878,31.0,D,43.89
1053.0,Bread Maker,Appliances,N9,78.0,5.0,TechCorp,313.14,418.77,2/22/2025,Available,392.0,164157.84,105.63,40.0,5.025641026,23.0,A,25.22
1054.0,Smartwatch,Electronics,K0,78.0,10.0,Storage Solutions,599.99,873.34,2/23/2025,Available,232.0,202614.88,273.35,40.0,2.974358974,26.0,D,31.3
1055.0,Gaming Chair,Furniture,B3,87.0,14.0,IKEA Supplies,541.93,786.74,2/24/2025,Reorder Needed,449.0,353246.26,244.81,40.0,5.16091954,46.0,C,31.12
1056.0,Table Lamp,Lighting,W0,21.0,11.0,IKEA Supplies,464.58,575.68,2/25/2025,Available,256.0,147374.08,111.1,40.0,12.19047619,9.0,D,19.3
1057.0,Dining Chair,Furniture,D3,89.0,10.0,Home Essentials,638.51,743.68,2/26/2025,Reorder Needed,476.0,353991.68,105.17,40.0,5.348314607,47.0,B,14.14
1058.0,Rice Cooker,Appliances,A2,82.0,3.0,Light Co.,724.19,880.95,2/27/2025,Low Stock,269.0,236975.55,156.76,40.0,3.280487805,13.0,D,17.79
1059.0,Bluetooth Earbuds,Electronics,H9,77.0,9.0,TechCorp,315.1,416.06,2/28/2025,Reorder Needed,208.0,86540.48,100.96,40.0,2.701298701,29.0,B,24.27
1060.0,Wardrobe,Furniture,D7,5.0,9.0,TechCorp,229.23,340.49,3/1/2025,Reorder Needed,361.0,122916.89,111.26,40.0,72.2,12.0,B,32.68
1061.0,USB Hub,Electronics,E4,55.0,8.0,Storage Solutions,531.32,674.24,3/2/2025,Low Stock,343.0,231264.32,142.92,40.0,6.236363636,5.0,A,21.2
1062.0,Cookware Set,Lighting,Y2,49.0,9.0,Storage Solutions,560.92,811.69,3/3/2025,Available,239.0,193993.91,250.77,40.0,4.87755102,31.0,A,30.89
1063.0,Wall Hooks,Lighting,N5,81.0,4.0,TechCorp,523.02,767.04,3/4/2025,Reorder Needed,454.0,348236.16,244.02,40.0,5.604938272,13.0,D,31.81
1064.0,Duvet Cover,Other,B1,8.0,14.0,Storage Solutions,423.44,801.86,3/5/2025,Reorder Needed,264.0,211691.04,378.42,40.0,33.0,49.0,B,47.19
1065.0,Leather Sofa,Furniture,U6,66.0,7.0,Home Essentials,400.61,446.87,3/6/2025,Low Stock,466.0,208241.42,46.26,40.0,7.060606061,26.0,C,10.35
1066.0,Leather Sofa,Furniture,N3,69.0,2.0,TechCorp,501.73,821.48,3/7/2025,Available,192.0,157724.16,319.75,40.0,2.782608696,35.0,D,38.92
1067.0,Rice Cooker,Appliances,I8,36.0,8.0,Storage Solutions,99.06,137.8,3/8/2025,Reorder Needed,327.0,45060.6,38.74,40.0,9.083333333,6.0,B,28.11
1068.0,Wall Clock,Lighting,T3,38.0,2.0,TechCorp,337.42,553.6,3/9/2025,Low Stock,115.0,63664.0,216.18,40.0,3.026315789,46.0,B,39.05
1069.0,Shoe Rack,Storage,B5,96.0,10.0,Light Co.,22.19,25.64,3/10/2025,Reorder Needed,432.0,11076.48,3.45,40.0,4.5,42.0,C,13.46
1070.0,Dish Rack,Other,B7,99.0,2.0,IKEA Supplies,303.47,338.09,3/11/2025,Out of Stock,301.0,101765.09,34.62,40.0,3.04040404,31.0,D,10.24
1071.0,Standing Fan,Lighting,Q6,76.0,2.0,TechCorp,264.54,379.13,3/12/2025,Low Stock,129.0,48907.77,114.59,40.0,1.697368421,6.0,A,30.22
1072.0,Folding Table,Furniture,O4,43.0,8.0,IKEA Supplies,286.06,408.25,3/13/2025,Available,171.0,69810.75,122.19,40.0,3.976744186,22.0,D,29.93
1073.0,Cutlery Set,Lighting,P9,30.0,3.0,Storage Solutions,508.36,701.56,3/14/2025,Available,82.0,57527.92,193.2,40.0,2.733333333,20.0,D,27.54
1074.0,Electric Kettle,Appliances,O4,38.0,6.0,IKEA Supplies,277.98,400.79,3/15/2025,Available,110.0,44086.9,122.81,40.0,2.894736842,43.0,B,30.64
1075.0,Headphones,Electronics,N1,58.0,9.0,TechCorp,238.99,459.72,3/16/2025,Available,432.0,198599.04,220.73,40.0,7.448275862,31.0,C,48.01
1076.0,Digital Alarm Clock,Lighting,F7,7.0,9.0,Light Co.,130.57,252.79,3/17/2025,Reorder Needed,85.0,21487.15,122.22,40.0,12.14285714,10.0,A,48.35
1077.0,Mattress,Other,U8,54.0,4.0,Storage Solutions,202.5,385.79,3/18/2025,Reorder Needed,116.0,44751.64,183.29,40.0,2.148148148,29.0,C,47.51
1078.0,Leather Sofa,Furniture,M6,16.0,8.0,TechCorp,208.61,242.72,3/19/2025,Available,277.0,67233.44,34.11,40.0,17.3125,22.0,A,14.05
1079.0,Wall Mirror,Lighting,S8,69.0,4.0,Storage Solutions,75.36,91.73,3/20/2025,Available,468.0,42929.64,16.37,40.0,6.782608696,24.0,C,17.85
1080.0,Storage Cabinet,Storage,W6,58.0,7.0,Home Essentials,409.48,611.38,3/21/2025,Available,79.0,48299.02,201.9,40.0,1.362068966,20.0,A,33.02
1081.0,Water Purifier,Appliances,Y8,9.0,7.0,IKEA Supplies,581.28,674.85,3/22/2025,Reorder Needed,194.0,130920.9,93.57,40.0,21.55555556,25.0,A,13.87
1082.0,Rice Cooker,Appliances,F7,98.0,4.0,Home Essentials,418.34,627.1,3/23/2025,Available,53.0,33236.3,208.76,40.0,0.540816327,47.0,B,33.29
1083.0,Smart TV,Electronics,R1,98.0,8.0,TechCorp,369.68,474.22,3/24/2025,Available,462.0,219089.64,104.54,40.0,4.714285714,17.0,D,22.04
1084.0,External Hard Drive,Electronics,A0,61.0,4.0,Light Co.,224.59,392.19,3/25/2025,Out of Stock,347.0,136089.93,167.6,40.0,5.68852459,44.0,C,42.73
1085.0,Leather Sofa,Furniture,E8,21.0,9.0,Storage Solutions,703.16,866.07,3/26/2025,Out of Stock,196.0,169749.72,162.91,40.0,9.333333333,14.0,A,18.81
1086.0,Gaming Chair,Furniture,D9,51.0,11.0,IKEA Supplies,383.88,528.7,3/27/2025,Available,97.0,51283.9,144.82,40.0,1.901960784,8.0,B,27.39
1087.0,LED Lamp,Lighting,R5,27.0,5.0,Storage Solutions,340.33,489.6,3/28/2025,Low Stock,456.0,223257.6,149.27,40.0,16.88888889,41.0,D,30.49
1088.0,Patio Set,Furniture,V5,83.0,14.0,TechCorp,34.12,45.13,3/29/2025,Available,251.0,11327.63,11.01,40.0,3.024096386,21.0,C,24.4
1089.0,Handheld Vacuum,Appliances,N7,89.0,2.0,Storage Solutions,211.14,354.42,3/30/2025,Out of Stock,180.0,63795.6,143.28,40.0,2.02247191,8.0,A,40.43
1090.0,Duvet Cover,Other,V7,18.0,5.0,IKEA Supplies,304.09,392.59,3/31/2025,Low Stock,173.0,67918.07,88.5,40.0,9.611111111,39.0,A,22.54
1091.0,Glassware Set,Lighting,K8,70.0,8.0,TechCorp,327.19,410.85,4/1/2025,Low Stock,210.0,86278.5,83.66,40.0,3.0,34.0,D,20.36
1092.0,Leather Sofa,Furniture,C6,79.0,12.0,Storage Solutions,348.3,588.57,4/2/2025,Available,155.0,91228.35,240.27,40.0,1.962025316,10.0,B,40.82
1093.0,Shoe Rack,Storage,L1,55.0,5.0,Light Co.,371.08,542.93,4/3/2025,Out of Stock,178.0,96641.54,171.85,40.0,3.236363636,31.0,A,31.65
1094.0,Table Lamp,Lighting,G8,42.0,14.0,TechCorp,423.38,615.75,4/4/2025,Out of Stock,406.0,249994.5,192.37,40.0,9.666666667,41.0,A,31.24
1095.0,Toaster,Appliances,J1,68.0,7.0,TechCorp,656.89,769.59,4/5/2025,Low Stock,370.0,284748.3,112.7,40.0,5.441176471,12.0,A,14.64
1096.0,Measuring Cups,Lighting,Q8,42.0,10.0,Light Co.,472.63,816.73,4/6/2025,Available,235.0,191931.55,344.1,40.0,5.595238095,22.0,A,42.13
1097.0,Blender,Appliances,R7,54.0,2.0,Home Essentials,482.12,723.76,4/7/2025,Reorder Needed,178.0,128829.28,241.64,40.0,3.296296296,29.0,C,33.39
1098.0,Side Table,Furniture,M6,86.0,14.0,IKEA Supplies,683.3,956.41,4/8/2025,Reorder Needed,336.0,321353.76,273.11,40.0,3.906976744,38.0,C,28.56
1099.0,Wall Mirror,Lighting,X5,34.0,6.0,Home Essentials,21.64,37.87,4/9/2025,Out of Stock,144.0,5453.28,16.23,40.0,4.235294118,43.0,A,42.86
1100.0,Wall Mirror,Lighting,X3,83.0,12.0,Storage Solutions,133.23,211.86,4/10/2025,Reorder Needed,391.0,82837.26,78.63,40.0,4.710843373,5.0,C,37.11
1101.0,Blender,Appliances,N3,95.0,8.0,Light Co.,23.46,27.41,4/11/2025,Out of Stock,430.0,11786.3,3.95,40.0,4.526315789,17.0,D,14.41
